gender_Wanita,job_Karyawan,job_Pelajar,job_Tidak Bekerja,job_Wiraswasta,phone_dur_4 - 6 jam,phone_dur_Kurang dari 4 jam,app_dur_Lebih dari 12 bulan,h_w_inc_Ya,education_Tidak,earning_Ya,age,height,weight,photo_quan,get_Ya
1,0,0,0,0,0,0,0,0,0,0,20,168,67,3,0
1,0,0,0,0,1,0,0,0,1,0,21,160,45,2,1
1,0,0,0,0,0,0,0,1,1,0,20,150,42,3,1
0,1,0,0,0,1,0,1,1,0,0,23,184,95,3,1
1,0,0,0,0,0,0,0,0,0,0,20,164,52,3,1
1,0,0,0,0,0,0,0,0,0,0,20,164,52,3,1
1,0,0,0,0,1,0,0,0,1,0,21,160,50,2,1
1,0,0,0,0,0,0,0,0,1,0,21,156,65,3,1
0,0,0,0,0,1,0,0,0,0,0,23,170,80,4,1
1,1,0,0,0,0,0,1,1,0,0,24,150,60,3,1
0,0,0,0,0,1,0,0,0,1,0,20,180,85,3,1
0,0,0,0,0,0,0,0,1,0,0,21,176,93,2,1
0,0,0,1,0,1,0,0,0,1,0,18,270,50,1,0
1,0,0,0,0,1,0,0,0,0,0,20,148,49,3,0
1,0,0,0,0,1,0,0,0,0,0,20,148,49,3,0
0,0,0,0,0,0,0,0,1,0,0,20,174,68,1,1
0,0,0,0,0,1,0,0,0,1,0,18,167,72,0,0
1,0,0,0,0,1,0,0,0,0,0,19,157,49,3,1
